station_id,agency_id,lat,lon,stop_name
station_1022_6,CC,19.370083385,-99.15513479500001,Sobre Dr. J. M. Vertiz y  Municipio Libre
station_1023_0,CC,19.37066,-99.16325,Municipio Libre y Av. México
station_1023_1,CC,19.37068,-99.16451,Municipio Libre y Zapata
station_1023_2,METRO,19.370771666666666,-99.16494666666667,Zapata
station_1023_2,TROLE,19.370771666666666,-99.16494666666667,Zapata
station_1023_3,TROLE,19.371090000000002,-99.16687999999999,Aniceto Ortega
station_1023_4,TROLE,19.37025,-99.16353,Av. México
station_1023_6,RTP,19.37053,-99.1648,Universidad - San Lorenzo
station_1023_7,RTP,19.37057,-99.16446,Emiliano Zapata y Municipio Libre - Metro Emiliano Zapata
station_1023_8,RTP,19.37071,-99.16506,C. C. Metro Zapata - Av. Universidad y San Lorenzo
station_1023_9,RTP,19.37179,-99.16402,Av. Universidad
station_1024_0,CC,19.37435,-99.16234,Av. Universidad y Miguel Laurent
station_1025_0,CC,19.37564,-99.16672,Miguel Laurent y Gabriel Mancera
station_1026_0,CC,19.37629,-99.16964,Miguel Laurent y Coyoacán
station_1027_0,CC,19.37782,-99.17696,Miguel Laurent y Manzanas
station_1028_0,CC,19.37516,-99.17631,San Lorenzo y Fresas
station_1029_0,CC,19.37319,-99.17564,San Francisco y Félix Cuevas
station_1029_1,TROLE,19.373035,-99.175835,San Francisco
station_102_0,CC,19.45754,-99.19252499999999,Calz. Legaria - Lago Superior
station_102_0,RTP,19.45754,-99.19252499999999,Calz. Legaria - Lago Superior
station_1030_0,CC,19.36401,-99.17921,Barranca del Muerto y La Minerva
station_1031_0,CC,19.432285,-99.17757,Gutemberg y Thiers
station_1032_0,CC,19.43334,-99.18978,Av. Horacio y La Martine
station_1032_1,CC,19.433545000000002,-99.190595,Av. Horacio y Arquímedes
station_1032_2,CC,19.43356,-99.18846,Av. Horacio e Isaac Newton
station_1032_3,METRO,19.43355,-99.19093,Polanco
station_1033_0,CC,19.43383,-99.19756,Av. Horacio y Anatole France
station_1034_0,CC,19.434404999999998,-99.201625,Av. Horacio y Moliere
station_1035_0,CC,19.43467,-99.20411,Av. Horacio y Socrates
station_1036_0,CC,19.43324,-99.18394,Av. Horacio y Sudermann
station_1036_1,CC,19.43304,-99.18495,Av. Horacio y Taine
station_1037_0,CC,19.43406,-99.19543,Av. Horacio y Alejandro Dumas
station_1038_0,CC,19.43432,-99.19953,Av. Horacio y Edgar Allan Poe
station_1039_0,CC,19.43589,-99.20705,Av. Horacio y Ferrocarril de Cuernavaca
station_103_0,MB,19.447335000000002,-99.13570999999999,Glorieta Cuitláhuac
station_103_0,TROLE,19.447335000000002,-99.13570999999999,Glorieta Cuitláhuac
station_103_1,RTP,19.44859,-99.13538,Av. Paseo de la Reforma - Ricardo Flores Magón
station_103_1,CC,19.44859,-99.13538,Av. Paseo de la Reforma - Ricardo Flores Magón
station_103_2,TROLE,19.446620000000006,-99.13665,González Bocanegra
station_103_3,TROLE,19.44623,-99.13674,Matamoros
station_103_4,RTP,19.445870000000006,-99.13701,Reforma - Allende
station_103_5,RTP,19.44879,-99.13578,Ricardo Flores Magón - Allende
station_1040_0,CC,19.43534,-99.18669,Av. Homero e Isaac Newton
station_1041_0,CC,19.43546,-99.18972,Av. Homero y La Martine
station_1042_0,CC,19.43576,-99.19677,Av. Homero y Alfredo Musset
station_1043_0,CC,19.43598,-99.20148,Av. Homero y Moliere
station_1044_0,CC,19.43609,-99.20412,Av. Homero y Socrates
station_1045_0,CC,19.44384,-99.21964,Av. del Conscripto y Comite Olímpico Mexicano
station_1045_1,CC,19.44453,-99.21932,Blvd. Manuel Avila C. y Av. Conscripto
station_1045_2,RTP,19.44491,-99.21977,Anillo Periférico Blvd. Manuel Avila Camacho - Conscripto
station_1046_0,CC,19.43872,-99.20502,Av. Ejército Nacional y Socrates
station_1046_1,CC,19.43873,-99.20556,Av. Ejército Nacional y Ferrocarril de Cuernavaca
station_1047_0,CC,19.43891,-99.2098,Av. Ejército Nacional y Presa Don Martín
station_1048_0,CC,19.44522000000001,-99.2173,Av. Ingenieros Militares y Av. Lomas de Sotelo
station_1048_1,CC,19.44394,-99.21708,Blvd. Manuel Avila C. e Ingenieros Militares
station_1048_2,RTP,19.44402,-99.21709,Anillo Periférico Blvd. Manuel Avila Camacho - Presa Salinillas
station_1049_0,CC,19.42564,-99.17149,Río Mississippi y Paseo de la Reforma
station_1049_1,MB,19.42458641466475,-99.1725268141567,La Diana
station_1049_1,TROLE,19.42458641466475,-99.1725268141567,La Diana
station_1049_2,MB,19.425649144995752,-99.17090598506974,La Diana
station_1049_3,RTP,19.4258,-99.17199,Río Mississippi - Reforma
station_1049_4,RTP,19.42691,-99.17261,Río Mississippi - Río Lerma
station_104_0,MB,19.35014,-99.11088000000001,Ganaderos
station_1050_0,CC,19.43098,-99.17598,Thiers y Goethe
station_1051_0,CC,19.4338,-99.17926,Thiers y Bradley
station_1051_1,CC,19.43406,-99.1798,Leibnitz y Thiers
station_1052_0,CC,19.43757,-99.18716,Av. Ejército Nacional y Lope de Vega
station_1052_1,CC,19.43787,-99.18632,Ejército Nacional y Lago Nargis
station_1053_0,CC,19.43773,-99.19054,Av. Ejército Nacional y Arquímedes
station_1053_1,CC,19.43815,-99.19187,Av. Ejército Nacional y Lago Bangueolo
station_1054_0,CC,19.43788,-99.19392,Av. Ejército Nacional y Eugenio Sue
station_1054_1,CC,19.43829,-99.19521,Av. Ejército Nacional y Hospital EspaNol
station_1055_0,CC,19.43803,-99.19733,Av. Ejército Nacional y Anatole France
station_1056_0,CC,19.43817,-99.20042,Ejército Nacional
station_1056_1,CC,19.43851,-99.20066,Av. Ejército Nacional y Moliere
station_1057_0,CC,19.438,-99.18898,Av. Ejército Nacional y Lago Estefania
station_1058_0,CC,19.42938,-99.17842,Leibnitz y Darwin
station_1059_0,CC,19.42713,-99.17749,Leibnitz y Victor Hugo
station_1059_1,TROLE,19.42712,-99.17754,Victor Hugo
station_105_0,MB,19.371595,-99.10786999999999,Churubusco Oriente
station_105_3,CC,19.369587,-99.108158,Av. 5 y Calle 12
station_1060_0,CC,19.40806,-99.10188,Viaducto Río de la Piedad y metro Velódromo
station_1060_1,CC,19.40643,-99.10273,Añil y Atletas
station_1060_2,CC,19.40771,-99.10312,Añil y Río de la Piedad
station_1060_3,CC,19.40634,-99.10254,Añil y ENSED
station_1060_4,METRO,19.40854,-99.10316,Velódromo
station_1060_5,TROLE,19.40641,-99.1027,ESEF
station_1061_0,CC,19.40644,-99.11372,Francisco del Paso y Troncoso y Viaducto Río de la Piedad
station_1061_1,CC,19.40598,-99.11418,Viaducto Río de la Piedad y Clínica IMSSS
station_1061_2,CC,19.40511,-99.1139,Añil y Azúcar
station_1061_3,CC,19.40546,-99.11426,Viaducto y Azúcar
station_1061_4,MB,19.40546,-99.11357,Hospital General Troncoso
station_1062_0,CC,19.405814999999997,-99.117395,Viaducto Río de la Piedad y 1er Puente
station_1062_1,CC,19.40527,-99.11717,1 de Mayo y Viaducto
station_1063_0,CC,19.4085,-99.17003,Campeche y Chilpancingo
station_1064_0,CC,19.40819,-99.17185,Citlaltépetl y Campeche
station_1064_1,CC,19.408593475,-99.17244696,Sobre Av. Nuevo León y Campeche
station_1065_0,CC,19.40659,-99.17289,Alfonso Reyes y Altlata
station_1065_1,CC,19.40583,-99.171855,Baja California y Nuevo León
station_1065_2,CC,19.405896655,-99.17183183,Sobre Av. Nuevo León y Av. Baja California
station_1066_0,CC,19.40747,-99.17462,Alfonso Reyes y Saltillo
station_1067_0,CC,19.40858,-99.17686,Alfonso Reyes y Tamaulipas
station_1068_0,CC,19.40928,-99.18606,José Moran y Juan Cano
station_1069_0,CC,19.41097,-99.18784,gob. Rafael Rebollar y Gob. Ignacio Esteva
station_106_0,MB,19.374879999999997,-99.10798,Aculco
station_1070_0,CC,19.41297,-99.18703,Gob. Rafael Rebollar y Gob. José María Tomel
station_1070_1,CC,19.41446,-99.18641,Gob. Rafael Rebollar y Constituyentes
station_1070_2,CC,19.41557,-99.18402,Constituyentes y Juan Cano
station_1070_3,RTP,19.415300000000002,-99.185115,Av. Contituyentes - Gobernador Tiburcio Montiel
station_1070_4,RTP,19.414015,-99.18777499999999,Av. Constituyentes - UVM
station_1071_0,CC,19.41488,-99.17509,Juan Escutia y Cuernavaca
station_1071_1,CC,19.4145,-99.17441,Juan Escutia y Amatlan
station_1071_2,CC,19.41454283,-99.17443171,Sobre Eje 2 Sur y Jojutla
station_1071_3,CC,19.415414,-99.17624,Mazatlán y Juan Escutia
station_1072_0,CC,19.41351,-99.17248,Juan Escutia y Tamaulipas
station_1073_0,CC,19.41673,-99.16761,Álvaro Obregón y Yucatán
station_1073_1,TROLE,19.41657,-99.167,Álvaro Obregón
station_1073_2,TROLE,19.41661,-99.16763,Cacahuamilpa
station_1074_0,CC,19.416795,-99.165115,Álvaro Obregón e Insurgentes
station_1074_0,MB,19.416795,-99.165115,Álvaro Obregón e Insurgentes
station_1074_1,CC,19.41755,-99.16266,Álvaro Obregón y Tonala
station_1074_3,TROLE,19.41562,-99.16551000000001,Insurgentes Sur
station_1074_4,RTP,19.41694,-99.16391,Eje 2 Poniente Monterrey - Insurgentes
station_1075_0,CC,19.41322000000001,-99.13297,Av. del Taller y Xocongo
station_1075_1,TROLE,19.41332,-99.13335,Tlalpan
station_1075_2,TROLE,19.41203,-99.13249,José Antonio Torres
station_1076_0,CC,19.41029,-99.1333,José A. Torres y Mateos
station_1076_1,METRO,19.41021,-99.13375,Chabacano
station_1076_2,RTP,19.41018,-99.13384,Juan Antonio Mateos - Vicente Beristain
station_1077_0,CC,19.390371428571427,-99.0636157142857,Sur 20 y Oriente 255
station_1078_0,CC,19.39108,-99.06785,Sur 20 y Rtno. de Sur 16
station_1078_1,CC,19.39114,-99.069,Sur 20 y Oriente 249
station_1079_0,CC,19.391620000000003,-99.07141999999999,Sur 20 y Oriente 245
station_107_0,MB,19.378410000000002,-99.10921333333333,Apatlaco
station_107_0,METRO,19.378410000000002,-99.10921333333333,Apatlaco
station_1080_0,CC,19.392035,-99.073895,Sur 20 y Rojo Gómez
station_1081_0,CC,19.39248,-99.07652,Sur 20 y Oriente 237
station_1082_0,CC,19.392960000000002,-99.079375,Sur 20 y Oriente 233
station_1083_0,CC,19.39354,-99.08147500000001,Sur 20 y Oriente 229
station_1084_0,CC,19.408945,-99.12420499999999,Av. Morelos y Torno
station_1084_1,CC,19.4091,-99.11987500000001,Av. Morelos y Nicolas Bravo
station_1084_2,CC,19.409313333333333,-99.12180000000001,Av. Morelos y Congreso de la Unión
station_1084_3,METRO,19.4091,-99.12235,Jamaica
station_1084_4,METRO,19.411025000000002,-99.12165999999999,Jamaica
station_1084_4,TROLE,19.411025000000002,-99.12165999999999,Jamaica
station_1084_5,TROLE,19.40925,-99.12133,Congreso de la Unión
station_1084_6,RTP,19.40916,-99.121735,Honorable Congreso de la Unión - Av. Morelos
station_1084_7,CC,19.408873,-99.121556,Eje 2 Ote. H Congreso de la Unión y Eje 3 Sur Morelos
station_1084_8,CC,19.411098,-99.121556,Eje 2 Ote. H Congreso de la Unión y Magdalena Mixhuca
station_1085_0,CC,19.407535,-99.1396,José Peon Contreras e Isabel la Católica
station_1086_0,CC,19.40733,-99.142215,José Peon Contreras y Bolivar
station_1087_0,CC,19.40729,-99.14401,José Peon Contreras y Eje Central
station_1087_1,CC,19.40709,-99.14487,Dr. I. Morones Prieto y Eje Central
station_1087_2,METRO,19.407273333333332,-99.14463666666666,Lázaro Cárdenas
station_1087_2,TROLE,19.407273333333332,-99.14463666666666,Lázaro Cárdenas
station_1088_0,CC,19.406985,-99.148095,Dr. I. Morones Prieto y Dr. Andrade
station_1088_1,CC,19.40665732,-99.14966902,Sobre Dr. J. M. Vertiz e Ignacio Morones Prieto
station_1088_2,CC,19.40771468,-99.14966046,Sobre Dr. J. M. Vertiz y Pedro Miranda
station_1089_0,CC,19.40688,-99.15125,Dr. I Morones Prieto y Dr. Jiménez
station_108_0,MB,19.38282,-99.110885,Canal de Apatlaco
station_1090_0,CC,19.40666,-99.15485,Dr. I. Morones Prieto y Cuauhtémoc
station_1090_1,CC,19.40663,-99.15664,Baja California y Toluca
station_1090_2,CC,19.40648,-99.15563,Baja California y Cuauhtémoc
station_1090_3,METRO,19.407186666666664,-99.15543666666667,Centro Médico
station_1090_3,MB,19.407186666666664,-99.15543666666667,Centro Médico
station_1091_0,CC,19.40637000000001,-99.16107,Baja California y Monterrey
station_1091_1,CC,19.4062,-99.16052,Baja California y Linares
station_1092_0,CC,19.40615,-99.16317000000001,Baja California y Medellin
station_1093_0,CC,19.40601,-99.16652500000001,Baja California y Tlacotalpan
station_1093_1,CC,19.40605,-99.16745,Baja California y Tuxpan
station_1093_2,CC,19.405904999999997,-99.169275,Baja California y Chilpancingo
station_1093_3,METRO,19.406255,-99.16841,Chilpancingo
station_1093_3,MB,19.406255,-99.16841,Chilpancingo
