geo_cluster,n_stops,n_station_ids_tras_paso2,n_agencias,agencias,nombres
1393,4,2,2,"['MB', 'TROLE']","['Hospital General La Villa', 'Hospital de la Villa', 'San Juan']"
1561,4,4,2,"['RTP', 'TROLE']","['Av. Azcapotzalco - Castilla Oriente', 'Castilla - Zaragoza', 'San Simón - Castilla', 'Zaragoza']"
1558,4,3,2,"['RTP', 'TROLE']","['Aquiles Serdán - Tierra Colorada', 'CCH Azcapotzalco', 'Parque Vía - Hernández Covarruvias']"
1556,4,3,2,"['RTP', 'TROLE']","['Alfareros', 'Av. de las Culturas - Alfareros', 'Renacimiento - Av. de las Culturas']"
868,4,3,2,"['CC', 'RTP']","['Abarrotes - Viveres', 'Base Central de Abasto', 'Central de Abasto Av. Principal - Verduras']"
866,4,3,2,"['CC', 'RTP']","['Calz. México Tacuba - General Aristas', 'México-Tacuba - General Arista', 'México-Tacuba - Río Ande', 'México-Tacuba - Sanctorum']"
841,4,3,2,"['CC', 'RTP']","['Calz. San Isidro y Calz. de las Armas', 'Calz. de las Armas', 'De las Armas - Echegaray']"
1555,4,4,2,"['RTP', 'TROLE']","['Av. de las Culturas - Cultura Nahuatl', 'Av. de las Culturas - Río Blanco', 'Cultura Náhuatl']"
1550,4,4,2,"['RTP', 'TROLE']","['Av. de las Culturas - Hidrógeno', 'Av. de las Culturas - Pescadores', 'Hidrógeno', 'Pescadores']"
1549,4,4,2,"['RTP', 'TROLE']","['Aquiles Serdán y Parque Vía - Renacimiento', 'Av. Aquiles Serdán', 'Renacimiento', 'Renacimiento - Parque Vía']"
337,4,2,2,"['CC', 'RTP']","['Raul Helmer', 'San Miguel']"
331,4,3,2,"['CC', 'RTP']","['Estado de México', 'Estado de México - Tecnológico', 'Sor Juana Ines de la Cruz']"
329,4,4,2,"['CC', 'RTP']","['Av. Tecnológico', 'Av. Tecnológico - Manuel Altamirano', 'Eva Samano de López Mateos', 'Maestro Larroyo']"
2057,4,2,2,"['RTP', 'TROLE']","['Aztecas - Papatzin', 'Papatzin', 'Papatzín']"
795,4,4,2,"['CC', 'RTP']","['Av. Instituto Politécnico Nacional - Fortuna', 'Eje 4 Norte Av. Fortuna - Av. Instituto Politécnico Nacional', 'Fortuna', 'Frente a IMSS']"
786,4,4,2,"['CC', 'MB']","['Coltongo', 'Coltongo - Eje 1 Poniente Calz. Vallejo', 'Poniente 112 - Eje 1 Poniente Calz. Vallejo', 'Poniente 112 - Norte 17']"
